Product ID,Model,Storage (GB),Color,Cost Price (NPR),Selling Price (NPR),Stock Quantity
IP14P-256-BLK,iPhone 14 Pro,256,Black,140000,165000,50
IP13-128-RED,iPhone 13,128,Red,90000,110000,75
IP14-256-WHT,iPhone 14,256,White,115000,140000,60
IPSE3-64-BLK,iPhone SE 3,64,Black,50000,65000,100
IP14P-512-GLD,iPhone 14 Pro,512,Gold,170000,195000,40
IP13M-128-BLU,iPhone 13 Mini,128,Blue,80000,95000,55
IP14PM-1TB-PRP,iPhone 14 Pro Max,1024,Purple,220000,250000,30
IP14-128-RED,iPhone 14,128,Red,105000,130000,70
IP13P-256-GRN,iPhone 13 Pro,256,Green,130000,155000,45
IPSE3-128-WHT,iPhone SE 3,128,White,60000,75000,85
